suppliers_tixian,suppliers_tixian_list,GET,某个店铺提现申请列表
suppliers_jyjl,suppliers_jyjl,POST,普通店铺的交易记录
syjl,yizhan_syjl,POST,易站的收益记录
join_bili,suppliers_join_bili,POST,易站分成比例
txjl,suppliers_txjl,POST,普通店铺的提现记录
suppliers_category,suppliers_category_list,GET,易站分销商店铺分类列表
,,,
,,,
GOODS商品类:,,,
https://lmbge.com/jcgj/chk/改成https://lmbge.com/jcgj/goods/,,,
add_goods_new,goods_add,POST,添加商品
search,goods_list,GET,商品列表
qiyegou_goodslist,qiyegou_goods_list,GET,企业购商品列表
qiyegou_search,qiyegou_search,POST,企业购一键进货搜索商品列表
qiyegou_addgoods,qiyegou_goods_add,POST,企业购一键进货添加商品
qiyegou_delgoods,qiyegou_goods_del,POST,企业购一键进货删除商品
down_goods,goods_down,POST,下架商品
goodinfo,goods_info,GET,商品详情
del_goods,goods_del,POST,删除商品
xgbt,goods_title_edit,POST,修改某个商品的标题
suppliers_goods,suppliers_goods_add,POST,易站给某个商品指派分销商
suppliers_goods_list,suppliers_goods_list,POST,易站商品查询指派的分销商
brands,brands_list,GET,品牌列表
add_brands,brands_add,POST,添加品牌
all_brands,brands_list,GET,某个店铺的品牌列表
del_brands,brands_del,POST,删除某个品牌
down_brands,brands_down,POST,下架品牌
categorys,categorys_list,GET,分类列表
cat_manage,categorys_alllist,GET,管理商品分类，查看全部子分类
down_category,categorys_down,GET,下架某个分类
del_categorys,categorys_del,POST,删除某个分类
add_categorys,categorys_add,POST,添加分类
up_categorys,categorys_edit,POST,编辑分类
allcats,allcats,GET,商品列表搜索--分类列表
categorys,goods_categorys_add,POST,商品页面添加分类
copy_goods_sel,copy_goods_sel,POST,复制商品
copy_goods,copy_goods,POST,复制商品
cat_copy_chk,cat_copy_chk,POST,复制商品
chk_copy_shuju_err1,chk_copy_shuju_err2,POST,复制商品
chk_copy_shuju_err2,chk_copy_shuju_err3,POST,复制商品
chk_copy_shuju_err3,chk_copy_shuju_err4,POST,复制商品
chk_copy_shuju_err4,chk_copy_shuju_err5,POST,复制商品
,,,
,,,
Order订单类:,,,
https://lmbge.com/jcgj/chk/改成https://lmbge.com/jcgj/order/,,,
sub_order,order_assign,POST,分配订单
ddlb,order_list,GET,订单列表
ddxq,order_info,GET,订单详情
cancelorder,order_cancel,POST,取消订单
editorder,order_edit,POST,订单编辑
szqr,order_credit_confirm,POST,确认赊账订单
szhk,order_credit_repayment,POST,赊账订单设置已还款
edit_cost,order_cost_edit,POST,订单商品成本价编辑
fenpei,yizhan_order_assign,POST,易站订单分配给下级供应商
order_new,order_add,POST,添加订单，代下单
yizhan_fahuo,yizhan_order_fahuo,POST,易站订单发货
fahuodan,fahuodan,POST,普通订单上传发货单
fahuo,order_fahuo,POST,普通订单发货
jyjl,order_jyjl,GET,某个店铺订单的交易记录
order_num,order_num,GET,某个店铺的每个状态下订单数量
pingjia_list,order_comment_list,GET,订单评价列表
pingjia_edit,order_comment_edit,POST,编辑订单评价
suppliers_order_list,,,
,,,
,,,
Customer 粉丝+客服+课程+预约+求购,,,
https://lmbge.com/jcgj/chk/改成https://lmbge.com/jcgj/customer/,,,
add_customer,customer_add,POST,添加粉丝
customer_price,customer_price,GET,粉丝价格列表
